timestamp,robot,battery,current,voltage,charging,energy_used
1013.4000000000001,robot_5,100.0,1.2,14.8,False,0.0
1013.4200000000001,robot_4,100.0,1.2,14.8,False,0.0
1013.5000000000001,robot_4,99.99666595458984,1.2,14.8,False,0.0
1013.5000000000001,robot_5,99.99666595458984,1.2,14.8,False,0.0
1013.6400000000001,robot_2,100.0,1.2,14.8,False,0.0
1013.6800000000001,robot_6,100.0,1.2,14.8,False,0.0
1013.8000000000001,robot_3,100.0,1.2,14.8,False,0.0
1014.0200000000001,robot_6,99.99620056152344,1.2,14.8,False,0.0
1014.0400000000001,robot_2,99.99600219726562,1.2,14.8,False,0.0
1014.08,robot_3,99.99653625488281,1.2,14.8,False,0.0
1014.08,robot_8,100.0,1.2,14.8,False,0.0
1014.1200000000001,robot_7,100.0,1.2,14.8,False,0.0
1014.2600000000001,robot_1,100.0,1.2,14.8,False,0.0
1014.5000000000001,robot_8,99.99559783935547,1.2,14.8,False,0.0
1014.5000000000001,robot_1,99.99613189697266,1.2,14.8,False,0.0
1014.5000000000001,robot_7,99.99566650390625,1.2,14.8,False,0.0
1014.5000000000001,robot_3,99.9945297241211,1.2,14.8,False,0.01
1015.0000000000001,robot_8,99.99427032470703,1.2,14.8,False,0.01
1015.0000000000001,robot_5,99.99199676513672,1.2,14.8,False,0.01
1015.0000000000001,robot_7,99.99433135986328,1.2,14.8,False,0.01
1015.0000000000001,robot_3,99.99320220947266,1.2,14.8,True,0.01
1015.0000000000001,robot_2,99.99266815185547,1.2,14.8,True,0.01
1015.5000000000001,robot_8,99.99226379394531,1.2,14.8,False,0.01
1015.5000000000001,robot_5,99.98999786376953,1.2,14.8,False,0.01
1015.5000000000001,robot_4,99.98999786376953,1.2,14.8,False,0.01
1015.5200000000001,robot_3,99.99120330810547,1.2,14.8,False,0.01
1016.0000000000001,robot_5,99.9886703491211,1.2,14.8,False,0.01
1016.0000000000001,robot_7,99.99099731445312,1.2,14.8,False,0.01
1016.0000000000001,robot_6,99.98953247070312,1.2,14.8,True,0.01
1016.0000000000001,robot_4,99.9886703491211,1.2,14.8,True,0.01
1016.5000000000001,robot_5,99.98666381835938,1.2,14.8,False,0.01
1016.5000000000001,robot_1,99.98946380615234,1.2,14.8,False,0.01
1016.5000000000001,robot_4,99.98666381835938,1.2,14.8,True,0.01
1016.5000000000001,robot_3,99.98786926269531,1.2,14.8,False,0.01
1017.0000000000001,robot_8,99.98760223388672,1.2,14.8,True,0.01
1017.0000000000001,robot_1,99.9881362915039,1.2,14.8,True,0.01
1017.0000000000001,robot_5,99.98533630371094,1.2,14.8,True,0.01
1017.0000000000001,robot_3,99.98653411865234,1.2,14.8,True,0.01
1017.0000000000001,robot_2,99.98600006103516,1.2,14.8,True,0.01
1017.5000000000001,robot_8,99.98560333251953,1.2,14.8,True,0.01
1017.5000000000001,robot_7,99.98566436767578,1.2,14.8,False,0.01
1017.5000000000001,robot_2,99.98400115966797,1.2,14.8,False,0.02
1017.5000000000001,robot_3,99.98453521728516,1.2,14.8,False,0.02
