timestamp,run_id,robot_id,x,y,yaw,linear_velocity,angular_velocity,battery,current_task,robot_state,goal_x,goal_y,remaining_distance,planner_state,corridor_id,junction_id,queue_length,nearby_robot_count
1039.4,run_1789030083,robot_1,-5.483,-29.979,-4.671,0.008,-0.123,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1040.0,run_1789030083,robot_2,-6.417,-27.821,-2.043,0.0,0.607,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1040.6000000000001,run_1789030083,robot_6,2.24,-26.676,-1.567,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1041.38,run_1789030083,robot_5,0.75,-29.547,-1.567,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1041.96,run_1789030083,robot_7,3.751,-30.05,-1.569,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1042.76,run_1789030083,robot_3,-2.251,-29.462,-1.563,-0.001,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1043.4,run_1789030083,robot_2,-6.592,-28.716,-3.93,-0.2,-1.045,100.0,,MOVING,0.0,0.0,0.0,EXECUTING,,,0,1
1044.04,run_1789030083,robot_7,3.751,-30.05,-1.569,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1044.74,run_1789030083,robot_5,0.75,-29.544,-1.567,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1045.38,run_1789030083,robot_4,2.814,-17.176,-0.219,0.07,-1.107,100.0,,MOVING,0.0,0.0,0.0,EXECUTING,,,0,1
1046.0800000000002,run_1789030083,robot_6,2.24,-26.653,-1.567,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1046.88,run_1789030083,robot_1,-6.264,-28.68,-4.454,0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1047.3,run_1789030083,robot_8,7.033,-20.831,-3.333,0.0,1.2,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1048.04,run_1789030083,robot_3,-2.251,-29.439,-1.563,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1048.9,run_1789030083,robot_5,0.75,-29.528,-1.566,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1049.38,run_1789030083,robot_8,7.069,-20.856,-3.004,-0.0,1.042,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1050.18,run_1789030083,robot_5,0.75,-29.528,-1.566,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1051.04,run_1789030083,robot_4,4.314,-17.034,0.793,0.0,1.2,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1051.4,run_1789030083,robot_8,7.069,-20.856,-3.221,0.0,1.2,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1052.24,run_1789030083,robot_3,-2.251,-29.437,-1.563,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1052.5800000000002,run_1789030083,robot_6,2.239,-26.489,-1.567,-0.001,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1053.54,run_1789030083,robot_8,7.069,-20.856,-3.115,-0.0,0.876,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1054.24,run_1789030083,robot_3,-2.251,-29.427,-1.563,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1054.64,run_1789030083,robot_1,-7.097,-23.375,-3.318,-0.0,1.185,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1055.5600000000002,run_1789030083,robot_7,3.751,-30.05,-1.569,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1056.26,run_1789030083,robot_3,-2.251,-29.425,-1.563,-0.0,0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1056.94,run_1789030083,robot_6,2.239,-26.465,-1.567,0.0,-0.0,100.0,,IDLE,0.0,0.0,0.0,EXECUTING,,,0,1
1057.6000000000001,run_1789030083,robot_4,8.415,-16.589,-2.422,-0.948,-0.112,100.0,,MOVING,0.0,0.0,0.0,EXECUTING,,,0,1
